op_unique_carrier,avg
9E,-6.55842285742179
9K,1.36616314199396
AA,-4.81391886801454
AS,-3.28085056568134
AX,-2.36377445460021
B6,-5.34437120860585
C5,-2.48738867224511
CP,-4.62840801265155
DL,-7.29237285064875
EM,0.650234301780694
EV,-2.72129427008793
F9,-5.60917297193755
G4,-2.48280111202945
G7,-5.70160464115326
HA,-0.324636067614806
KS,-1.46918714555766
MQ,-2.2789896900337
NK,-5.27006559650152
OH,-3.80670586580597
OO,-4.15812763130284
PT,-3.42706010970702
QX,-1.716313657734
UA,-4.41638038232133
VX,-4.59808779805282
WN,-7.07922506675953
YV,-2.80250050610467
YX,-3.97068759983978
ZW,-3.90213945525757
