,weather
0,Patchy light rain
1,Patchy light rain
2,Patchy light rain
3,Patchy light rain
4,Patchy light rain
5,Patchy light rain
6,Patchy light rain
7,Patchy light rain
8,Patchy light rain
9,Patchy light rain
10,Patchy light rain
11,Patchy light rain
12,Patchy light rain
13,Patchy light rain
14,Patchy light rain
15,Patchy light rain
16,Patchy light rain
17,Patchy light rain
18,Patchy light rain
19,Patchy light rain
20,Patchy light rain
21,Patchy light rain
22,Patchy light rain
23,Patchy light rain
24,Patchy light rain
25,Patchy light rain
26,Patchy light rain
27,Patchy light rain
28,Patchy light rain
29,Patchy light rain
30,Patchy light rain
31,Patchy light rain
32,Patchy light rain
33,Patchy light rain
34,Patchy light rain
35,Patchy light rain
36,Patchy light rain
37,Patchy light rain
38,Patchy light rain
39,Patchy light rain
40,Patchy light rain
41,Patchy light rain
42,Patchy light rain
43,Patchy light rain
44,Patchy light rain
45,Patchy light rain
46,Patchy light rain
47,Patchy light rain
48,Patchy light rain
49,Patchy light rain
50,Patchy light rain
51,Patchy light rain
52,Patchy light rain
53,Patchy light rain
54,Patchy light rain
55,Patchy light rain
56,Patchy light rain
57,Patchy light rain
58,Patchy light rain
59,Patchy light rain
60,Patchy light rain
61,Patchy light rain
62,Patchy light rain
63,Patchy light rain
64,Patchy light rain
65,Patchy light rain
66,Patchy light rain
67,Patchy light rain
68,Patchy light rain
69,Patchy light rain
70,Patchy light rain
71,Patchy light rain
72,Patchy light rain
73,Patchy light rain
74,Cloudy
75,Cloudy
76,Cloudy
77,Cloudy
78,Cloudy
79,Cloudy
80,Cloudy
81,Cloudy
82,Cloudy
83,Cloudy
84,Cloudy
85,Cloudy
86,Cloudy
87,Cloudy
88,Cloudy
89,Cloudy
90,Cloudy
91,Cloudy
92,Cloudy
93,Cloudy
94,Cloudy
95,Cloudy
96,Cloudy
97,Cloudy
98,Cloudy
99,Cloudy
100,Cloudy
101,Cloudy
102,Cloudy
103,Cloudy
104,Cloudy
105,Cloudy
106,Cloudy
107,Cloudy
108,Cloudy
109,Cloudy
110,Cloudy
111,Cloudy
112,Cloudy
113,Cloudy
114,Cloudy
115,Cloudy
116,Cloudy
117,Cloudy
118,Cloudy
119,Cloudy
120,Cloudy
121,Cloudy
122,Cloudy
123,Cloudy
124,Cloudy
125,Cloudy
126,Cloudy
127,Cloudy
128,Cloudy
129,Cloudy
130,Cloudy
131,Cloudy
132,Cloudy
133,Cloudy
134,Cloudy
135,Cloudy
136,Cloudy
137,Cloudy
138,Cloudy
139,Cloudy
140,Cloudy
141,Cloudy
142,Cloudy
143,Cloudy
144,Cloudy
145,Cloudy
146,Cloudy
147,Cloudy
148,Cloudy
149,Cloudy
150,Cloudy
151,Cloudy
152,Cloudy
153,Cloudy
154,Cloudy
155,Cloudy
156,Cloudy
157,Cloudy
158,Cloudy
159,Cloudy
160,Cloudy
161,Cloudy
162,Cloudy
163,Cloudy
164,Cloudy
165,Cloudy
166,Cloudy
167,Cloudy
168,Cloudy
169,Cloudy
170,Cloudy
171,Cloudy
172,Cloudy
173,Cloudy
174,Cloudy
175,Cloudy
176,Cloudy
177,Cloudy
178,Cloudy
179,Cloudy
180,Cloudy
181,Cloudy
182,Cloudy
183,Cloudy
184,Cloudy
185,Cloudy
186,Cloudy
187,Cloudy
188,Cloudy
189,Cloudy
190,Cloudy
191,Cloudy
192,Cloudy
193,Cloudy
194,Cloudy
195,Cloudy
196,Cloudy
197,Cloudy
198,Cloudy
199,Cloudy
200,Cloudy
201,Cloudy
202,Cloudy
203,Cloudy
204,Cloudy
205,Cloudy
206,Cloudy
207,Cloudy
208,Cloudy
209,Cloudy
210,Cloudy
