,weather
0,Overcast
1,Overcast
2,Overcast
3,Overcast
4,Overcast
5,Overcast
6,Overcast
7,Overcast
8,Overcast
9,Overcast
10,Overcast
11,Overcast
12,Overcast
13,Overcast
14,Overcast
15,Overcast
16,Overcast
17,Overcast
18,Overcast
19,Overcast
20,Overcast
21,Overcast
22,Overcast
23,Overcast
24,Overcast
25,Overcast
26,Overcast
27,Overcast
28,Overcast
29,Overcast
30,Overcast
31,Overcast
32,Overcast
33,Overcast
34,Overcast
35,Overcast
36,Overcast
37,Overcast
38,Overcast
39,Overcast
40,Overcast
41,Overcast
42,Overcast
43,Overcast
44,Overcast
45,Overcast
46,Overcast
47,Overcast
48,Overcast
49,Overcast
50,Overcast
51,Overcast
52,Overcast
53,Overcast
54,Overcast
55,Overcast
56,Overcast
57,Overcast
58,Overcast
59,Overcast
60,Overcast
61,Overcast
62,Overcast
63,Overcast
64,Overcast
65,Overcast
66,Overcast
67,Overcast
68,Overcast
69,Overcast
70,Overcast
71,Overcast
72,Overcast
73,Overcast
74,Overcast
75,Overcast
76,Overcast
77,Overcast
78,Overcast
79,Overcast
80,Overcast
81,Overcast
82,Overcast
83,Overcast
84,Overcast
85,Overcast
86,Overcast
87,Overcast
88,Overcast
89,Overcast
90,Overcast
91,Overcast
92,Overcast
93,Overcast
94,Overcast
95,Overcast
96,Overcast
97,Overcast
98,Overcast
99,Overcast
100,Overcast
101,Overcast
102,Overcast
103,Overcast
104,Overcast
105,Overcast
106,Overcast
107,Overcast
108,Overcast
109,Overcast
110,Overcast
111,Overcast
112,Overcast
113,Overcast
114,Overcast
115,Overcast
116,Overcast
117,Overcast
118,Overcast
119,Overcast
120,Overcast
121,Overcast
122,Overcast
123,Overcast
124,Overcast
125,Overcast
126,Overcast
127,Overcast
128,Overcast
129,Overcast
130,Overcast
131,Overcast
132,Overcast
133,Overcast
134,Overcast
135,Overcast
136,Overcast
137,Overcast
138,Overcast
139,Overcast
140,Overcast
141,Overcast
142,Overcast
143,Overcast
144,Overcast
145,Overcast
146,Overcast
147,Overcast
148,Overcast
149,Overcast
150,Overcast
151,Overcast
152,Overcast
153,Overcast
154,Overcast
155,Overcast
156,Overcast
157,Overcast
158,Overcast
159,Overcast
160,Overcast
161,Overcast
162,Overcast
163,Overcast
164,Overcast
165,Overcast
166,Overcast
167,Overcast
168,Overcast
169,Overcast
170,Overcast
171,Overcast
172,Overcast
173,Overcast
174,Overcast
175,Overcast
176,Overcast
177,Overcast
178,Overcast
179,Overcast
180,Overcast
181,Overcast
182,Overcast
183,Overcast
184,Overcast
185,Overcast
186,Overcast
187,Overcast
188,Overcast
189,Overcast
190,Overcast
191,Overcast
192,Overcast
193,Overcast
194,Overcast
195,Overcast
196,Overcast
197,Overcast
198,Overcast
199,Overcast
200,Overcast
201,Overcast
202,Overcast
203,Overcast
204,Overcast
205,Overcast
206,Overcast
207,Overcast
208,Overcast
209,Overcast
210,Overcast
211,Overcast
212,Overcast
213,Overcast
214,Overcast
215,Overcast
216,Overcast
217,Overcast
218,Overcast
219,Overcast
220,Overcast
221,Overcast
222,Overcast
223,Overcast
224,Overcast
225,Overcast
226,Overcast
227,Overcast
228,Overcast
229,Overcast
230,Overcast
231,Overcast
232,Overcast
233,Overcast
234,Overcast
235,Overcast
236,Overcast
237,Overcast
238,Overcast
239,Overcast
240,Overcast
241,Overcast
242,Overcast
243,Overcast
244,Overcast
245,Overcast
246,Overcast
247,Overcast
248,Overcast
249,Overcast
250,Overcast
251,Overcast
252,Overcast
253,Overcast
254,Overcast
255,Overcast
256,Overcast
257,Overcast
258,Overcast
259,Overcast
260,Overcast
261,Overcast
262,Overcast
263,Overcast
264,Overcast
265,Overcast
266,Overcast
267,Overcast
268,Overcast
269,Overcast
270,Overcast
271,Overcast
272,Overcast
273,Overcast
274,Overcast
275,Overcast
276,Overcast
277,Overcast
278,Overcast
279,Overcast
280,Overcast
281,Overcast
282,Overcast
283,Overcast
284,Overcast
285,Overcast
286,Overcast
287,Overcast
288,Overcast
289,Overcast
290,Overcast
291,Overcast
292,Overcast
293,Overcast
294,Overcast
295,Overcast
296,Overcast
297,Overcast
298,Overcast
299,Overcast
300,Overcast
301,Overcast
302,Overcast
303,Overcast
304,Overcast
305,Overcast
306,Overcast
307,Overcast
308,Overcast
309,Overcast
310,Overcast
311,Overcast
312,Overcast
313,Overcast
314,Overcast
315,Overcast
316,Overcast
317,Overcast
318,Overcast
319,Overcast
320,Overcast
321,Overcast
322,Overcast
323,Overcast
324,Overcast
325,Overcast
326,Overcast
327,Overcast
328,Overcast
329,Overcast
330,Overcast
331,Overcast
332,Overcast
333,Overcast
334,Overcast
335,Overcast
336,Overcast
337,Overcast
338,Overcast
339,Overcast
340,Overcast
341,Overcast
342,Overcast
343,Overcast
344,Overcast
345,Overcast
346,Overcast
347,Overcast
348,Overcast
349,Overcast
350,Overcast
351,Overcast
352,Overcast
353,Overcast
354,Overcast
355,Overcast
356,Overcast
357,Overcast
358,Overcast
359,Overcast
360,Overcast
361,Overcast
362,Overcast
363,Overcast
364,Overcast
365,Overcast
366,Overcast
367,Overcast
368,Overcast
369,Overcast
370,Overcast
371,Overcast
372,Overcast
373,Overcast
374,Overcast
375,Overcast
376,Overcast
377,Overcast
378,Overcast
379,Overcast
380,Overcast
381,Overcast
382,Overcast
383,Overcast
384,Overcast
385,Overcast
386,Overcast
387,Overcast
388,Overcast
389,Overcast
390,Overcast
391,Overcast
392,Overcast
393,Overcast
394,Overcast
395,Overcast
396,Overcast
397,Overcast
398,Overcast
399,Overcast
400,Overcast
401,Overcast
402,Overcast
403,Overcast
404,Overcast
405,Overcast
406,Overcast
407,Overcast
408,Overcast
409,Overcast
410,Overcast
411,Overcast
412,Overcast
413,Overcast
414,Overcast
415,Overcast
416,Overcast
417,Overcast
418,Overcast
419,Overcast
420,Overcast
421,Overcast
422,Overcast
423,Overcast
424,Overcast
425,Overcast
426,Overcast
427,Overcast
428,Overcast
429,Overcast
430,Overcast
431,Overcast
432,Overcast
433,Overcast
434,Overcast
435,Overcast
436,Overcast
437,Overcast
438,Overcast
439,Overcast
440,Overcast
441,Overcast
442,Overcast
443,Overcast
444,Overcast
445,Overcast
446,Overcast
447,Overcast
448,Overcast
449,Overcast
450,Overcast
451,Overcast
452,Overcast
453,Overcast
454,Overcast
455,Overcast
456,Overcast
457,Overcast
458,Overcast
