,weather
0,Overcast
1,Overcast
2,Overcast
3,Overcast
4,Overcast
5,Overcast
6,Overcast
7,Overcast
8,Overcast
9,Overcast
10,Overcast
11,Overcast
12,Overcast
13,Overcast
14,Overcast
15,Overcast
16,Overcast
17,Overcast
18,Overcast
19,Overcast
20,Overcast
21,Overcast
22,Overcast
23,Overcast
24,Overcast
25,Overcast
26,Overcast
27,Overcast
28,Overcast
29,Overcast
30,Overcast
31,Overcast
32,Overcast
33,Overcast
34,Overcast
35,Overcast
36,Overcast
37,Overcast
38,Overcast
39,Overcast
40,Overcast
41,Overcast
42,Overcast
43,Overcast
44,Overcast
45,Overcast
46,Overcast
47,Overcast
48,Overcast
49,Overcast
50,Overcast
51,Overcast
52,Overcast
53,Overcast
54,Overcast
55,Overcast
56,Overcast
57,Patchy light snow
58,Patchy light snow
59,Patchy light snow
60,Patchy light snow
61,Patchy light snow
62,Patchy light snow
63,Patchy light snow
64,Patchy light snow
65,Patchy light snow
66,Patchy light snow
67,Patchy light snow
68,Patchy light snow
69,Patchy light snow
70,Patchy light snow
71,Patchy light snow
72,Patchy light snow
73,Patchy light snow
74,Patchy light snow
75,Patchy light snow
76,Patchy light snow
77,Patchy light snow
78,Patchy light snow
79,Patchy light snow
80,Patchy light snow
81,Patchy light snow
82,Patchy light snow
83,Patchy light snow
84,Patchy light snow
85,Patchy light snow
86,Patchy light snow
87,Patchy light snow
88,Patchy light snow
89,Patchy light snow
90,Patchy light snow
91,Patchy light snow
92,Patchy light snow
93,Patchy light snow
94,Patchy light snow
95,Patchy light snow
96,Patchy light snow
97,Patchy light snow
98,Patchy light snow
99,Patchy light snow
100,Patchy light snow
101,Patchy light snow
102,Patchy light snow
103,Patchy light snow
104,Patchy light snow
105,Patchy light snow
106,Patchy light snow
107,Patchy light snow
108,Patchy light snow
109,Patchy light snow
110,Patchy light snow
111,Patchy light snow
112,Patchy light snow
113,Patchy light snow
114,Patchy light snow
115,Patchy light snow
116,Patchy light snow
117,Patchy light snow
118,Patchy light snow
119,Patchy light snow
120,Patchy light snow
121,Patchy light snow
122,Patchy light snow
123,Patchy light snow
124,Patchy light snow
125,Patchy light snow
126,Patchy light snow
127,Patchy light snow
128,Patchy light snow
129,Patchy light snow
130,Patchy light snow
131,Patchy light snow
132,Patchy light snow
133,Patchy light snow
134,Patchy light snow
135,Patchy light snow
136,Patchy light snow
137,Patchy light snow
138,Patchy light snow
139,Patchy light snow
140,Patchy light snow
141,Patchy light snow
142,Patchy light snow
143,Patchy light snow
144,Patchy light snow
145,Patchy light snow
146,Patchy light snow
147,Patchy light snow
148,Patchy light snow
149,Patchy light snow
150,Patchy light snow
151,Patchy light snow
152,Patchy light snow
153,Patchy light snow
154,Patchy light snow
155,Patchy light snow
156,Patchy light snow
157,Patchy light snow
158,Patchy light snow
159,Patchy light snow
160,Patchy light snow
161,Patchy light snow
162,Patchy light snow
163,Patchy light snow
164,Patchy light snow
165,Patchy light snow
166,Patchy light snow
167,Patchy light snow
168,Patchy light snow
169,Patchy light snow
170,Patchy light snow
171,Patchy light snow
172,Patchy light snow
173,Patchy light snow
174,Patchy light snow
175,Patchy light snow
176,Patchy light snow
177,Patchy light snow
178,Patchy light snow
179,Patchy light snow
180,Patchy light snow
181,Patchy light snow
182,Patchy light snow
183,Patchy light snow
184,Patchy light snow
185,Patchy light snow
186,Patchy light snow
187,Patchy light snow
188,Patchy light snow
189,Patchy light snow
190,Patchy light snow
191,Patchy light snow
192,Patchy light snow
193,Patchy light snow
194,Patchy light snow
195,Patchy light snow
196,Patchy light snow
197,Patchy light snow
198,Patchy light snow
199,Patchy light snow
200,Patchy light snow
201,Patchy light snow
202,Patchy light snow
203,Patchy light snow
204,Patchy light snow
205,Patchy light snow
206,Patchy light snow
207,Patchy light snow
208,Patchy light snow
209,Patchy light snow
210,Patchy light snow
211,Patchy light snow
212,Patchy light snow
213,Patchy light snow
214,Patchy light snow
215,Patchy light snow
216,Patchy light snow
217,Patchy light snow
218,Patchy light snow
219,Patchy light snow
220,Patchy light snow
221,Patchy light snow
222,Patchy light snow
223,Patchy light snow
224,Patchy light snow
225,Patchy light snow
226,Patchy light snow
227,Patchy light snow
228,Patchy light snow
229,Patchy light snow
230,Patchy light snow
231,Patchy light snow
232,Patchy light snow
233,Patchy light snow
234,Patchy light snow
235,Patchy light snow
236,Patchy light snow
237,Patchy light snow
238,Patchy light snow
239,Patchy light snow
240,Patchy light snow
241,Patchy light snow
242,Patchy light snow
243,Patchy light snow
244,Patchy light snow
245,Patchy light snow
246,Patchy light snow
247,Patchy light snow
248,Patchy light snow
249,Patchy light snow
250,Patchy light snow
251,Patchy light snow
252,Patchy light snow
253,Patchy light snow
254,Patchy light snow
255,Patchy light snow
256,Patchy light snow
257,Patchy light snow
258,Patchy light snow
259,Patchy light snow
260,Patchy light snow
261,Patchy light snow
262,Patchy light snow
263,Patchy light snow
264,Patchy light snow
265,Patchy light snow
266,Patchy light snow
267,Patchy light snow
268,Patchy light snow
269,Patchy light snow
270,Patchy light snow
271,Patchy light snow
272,Patchy light snow
273,Patchy light snow
274,Patchy light snow
275,Patchy light snow
276,Patchy light snow
277,Patchy light snow
278,Patchy light snow
279,Patchy light snow
280,Patchy light snow
281,Patchy light snow
282,Patchy light snow
283,Patchy light snow
284,Patchy light snow
285,Patchy light snow
286,Patchy light snow
287,Patchy light snow
288,Patchy light snow
289,Patchy light snow
290,Patchy light snow
291,Patchy light snow
292,Patchy light snow
293,Patchy light snow
294,Patchy light snow
295,Patchy light snow
296,Patchy light snow
297,Patchy light snow
298,Patchy light snow
299,Patchy light snow
300,Patchy light snow
301,Patchy light snow
302,Patchy light snow
303,Patchy light snow
304,Patchy light snow
305,Patchy light snow
306,Patchy light snow
307,Patchy light snow
308,Patchy light snow
309,Patchy light snow
310,Patchy light snow
311,Patchy light snow
312,Patchy light snow
313,Patchy light snow
314,Patchy light snow
315,Patchy light snow
316,Patchy light snow
317,Patchy light snow
318,Patchy light snow
319,Patchy light snow
320,Patchy light snow
321,Patchy light snow
322,Patchy light snow
323,Patchy light snow
324,Patchy light snow
325,Patchy light snow
326,Patchy light snow
327,Patchy light snow
328,Patchy light snow
329,Patchy light snow
330,Patchy light snow
331,Patchy light snow
332,Patchy light snow
333,Patchy light snow
334,Patchy light snow
335,Patchy light snow
336,Patchy light snow
337,Patchy light snow
